a	阿啊呵嗄吖锕腌
yu	窳瑜妪瘐屿瘀鹬郁纡萸浴燠誉欤昱菀峪余渔蔚粥虞尉豫舆伛蓣钰域欲毓圉裕芋禹馀驭喻谀聿蜮娱谷遇雨圄玉预与鬻寓愈俞御愚阈彧煜饫妤窬谕于揄盂予羽吁鱼熨迂雩淤愉腴龉狱觎鹆逾榆俣嵛舁育禺宇隅竽狳语渝蝓臾庾於
yuan	冤援橼掾愿缘鸳塬怨芫员渊沅媛院爰元苑瑗鼋辕垣圜垸源鸢袁箢眢园圆猿螈远原
yue	粤说越玥龠瀹阅刖钺约乐曰钥岳跃栎悦月樾
yun	酝昀愠筠纭陨恽均郓运狁晕熨允氲殒韫蕴郧匀孕韵芸耘云
za	杂砸咂匝扎咋咱拶
zai	载灾仔哉崽在栽宰再
zan	暂攒糌瓒簪赞趱錾咱昝拶
zang	臧驵葬赃奘藏锗脏
zao	早遭噪燥造躁皂枣澡灶唣凿缲藻糟蚤
ze	则赜箦昃迮帻笮啧咋责泽仄侧舴择
zei	贼
zen	怎谮
zeng	憎缯罾甑曾增赠锃
zha	渣轧眨哳闸扎揸蚱咋诈乍咤砟喳痄柞札查榨栅喋蜡吒炸齄铡楂
zhai	斋摘寨翟债砦宅窄祭侧瘵择
zhan	毡颤绽谵辗盏栈展占瞻搌湛站战蘸沾旃斩崭詹粘
zhang	漳丈账嶂章仗帐长嫜掌仉涨胀杖樟彰张鄣瘴璋幛蟑獐障
zhao	笊召嘲肇著照朝爪招棹昭钊沼兆啁罩着诏找赵
zhe	蔗辄蜇谪锗这浙遮喆辙者折鹧赭哲磔褶蛰摺着柘
zhei	这
zhen	珍蓁缜枕针甄阵桢榛贞禛赈溱胗畛稹浈镇臻砧斟祯疹鸩椹圳朕轸真震振侦诊箴
zheng	蒸征怔证政挣狰峥徵筝诤帧鲭丁正拯钲整症铮争睁郑
zhi	掷咫趾絷芝郅指雉智之脂挚窒值帙栀踬痣吱侄芷植秩只胝志摭纸蛭质枳直骘帜酯贽桎治氏彘执痔豸祗织职徵置陟支峙轵止旨滞踯稚炙知鸷祉汁致制跖卮蜘栉殖埴轾忮址肢觯识枝膣黹至
zhong	钟锺踵冢中众种肿舯终盅忪仲衷螽忠重
zhou	荮宙昼州轴碡繇帚胄皱周舟咒诌籀肘纣绉啁洲粥妯酎骤
zhu	猪翥驻瘃蛛竺褚邾潴柱铢躅橥煮洙助株主舳疰伫诛术注著箸苎祝逐侏贮珠茱烛槠属渚筑竹嘱麈铸炷瞩诸拄蛀朱住杼
zhua	抓爪挝
zhuai	曳嘬拽
zhuan	砖颛沌啭撰篆转传赚馔专
zhuang	戆庄幢状僮壵壮装奘妆桩撞
zhui	缒隹追骓赘缀惴锥坠椎
zhun	屯窀准谆肫
zhuo	涿禚濯啄卓琢浞倬诼著灼捉桌拙斫镯擢浊茁酌着焯缴
zi	籽仔嵫紫茈髭觜自梓趑子渍粢姿鲻滓恣孜咨锱赀字訾呲缁孳辎资谘滋鹚秭笫兹龇耔眦吱淄姊
zong	腙鬃偬踪枞纵综宗棕粽总
zou	诹邹走鲰奏揍陬骤驺鄹
zu	组诅租卒菹足镞祖阻俎族
zuan	纂躜钻攥赚缵
zui	醉堆咀最觜蕞嘴罪
zun	樽尊撙鳟遵
zuo	胙作琢笮嘬左座撮做佐阼祚怍唑昨坐
mou	牟某缪谋眸
nve	虐疟
lve	掠略
